"type","generator","copyright","timestamp","features__type","features__properties__@id","features__properties__created_by","features__properties__leisure","features__geometry__type","features__geometry__coordinates__001","features__geometry__coordinates__002","features__id","features__properties__access","features__properties__name","features__properties__operator","features__properties__layer","features__properties__source","features__properties__natural","features__properties__tourism","features__properties__amenity","features__properties__website","features__properties__equipment","features__properties__shade","features__properties__wheelchair","features__properties__addr:city","features__properties__addr:housenumber","features__properties__addr:postcode","features__properties__addr:street","features__properties__phone","features__properties__opening_hours","features__properties__wikidata","features__properties__wikipedia","features__properties__name:en","features__properties__surface","features__properties__playground:theme","features__properties__addr:province","features__properties__description","features__properties__fee","features__properties__indoor"
"","","","","Feature","node/299023372","","playground","Point","145.0006231","-37.8048275","node/299023372","yes","Andrews Reserve Playground","","2","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/301363535","","playground","Point","144.9571004","-37.7251594","node/301363535","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/302229764","Potlatch 0.10c","playground","Point","145.0041036","-37.7687747","node/302229764","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/302797152","","playground","Point","144.92082","-37.7101242","node/302797152","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/302798666","","playground","Point","144.9200907","-37.7156658","node/302798666","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/303466695","","playground","Point","144.9516097","-37.8333314","node/303466695","yes","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/304521334","","playground","Point","144.9462249","-37.7184235","node/304521334","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/306329122","","playground","Point","145.3268496","-37.9167014","node/306329122","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/306915510","","playground","Point","144.9200517","-37.7236365","node/306915510","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/308435378","Potlatch 0.10e","playground","Point","144.9659008","-37.8343799","node/308435378","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/308472046","JOSM","playground","Point","145.132858","-37.7136959","node/308472046","","","","","knowledge","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/308679503","Potlatch 0.10f","playground","Point","144.995923","-37.7601906","node/308679503","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/309836838","Potlatch 0.10f","playground","Point","145.1725272","-37.9274214","node/309836838","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/309846270","","playground","Point","145.2054107","-37.9357268","node/309846270","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/309846345","","playground","Point","145.2018791","-37.936962","node/309846345","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/310187696","Potlatch 0.10f","playground","Point","145.3174581","-37.785549","node/310187696","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/311218691","","playground","Point","144.9996062","-37.7315422","node/311218691","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/311462367","Potlatch 0.10f","playground","Point","145.2877183","-37.7874465","node/311462367","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/311673328","Potlatch 0.10f","playground","Point","145.0064422","-37.754837","node/311673328","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/311886609","Potlatch 0.10f","playground","Point","145.1044742","-37.7102948","node/311886609","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/311887708","Potlatch 0.10f","playground","Point","145.3346072","-37.9169629","node/311887708","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/311887756","","playground","Point","145.3304131","-37.9039117","node/311887756","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/312058864","Potlatch 0.10f","playground","Point","145.0813467","-37.8792905","node/312058864","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/313250237","","playground","Point","145.236718","-37.812431","node/313250237","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/313428992","","playground","Point","144.9123852","-37.7025131","node/313428992","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/315676360","","playground","Point","145.1442449","-37.8468914","node/315676360","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/315676368","Potlatch 0.10f","playground","Point","145.1440417","-37.845543","node/315676368","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/315991439","Potlatch 0.10f","playground","Point","145.0494734","-37.8482897","node/315991439","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/317485549","Potlatch 0.10f","playground","Point","145.0915175","-37.8110937","node/317485549","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/317503436","","playground","Point","145.0822853","-37.8821084","node/317503436","","Percy Park","","","Local Knowledge","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/317506111","","playground","Point","145.0748609","-37.8700625","node/317506111","","","","","Survey","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Feature","node/318293012","Potlatch 0.10f","playground","Point","144.9651762","-37.7763754","node/318293012","","","","","","","","","","","","","","","","","","","","","","","","","","",""
